YEAR,NO2,O3,RADSOL,WD,PBAR,SO2
2014.0,5.715,13.576666666666666,,243.32,623.9783333333334,
2014.0,7.0625,13.437083333333334,,218.3095833333333,624.79125,
2014.0,7.045416666666667,9.224583333333332,,242.22916666666663,624.0883333333333,
2014.0,5.582083333333333,12.1975,,250.045,622.26625,
2014.0,10.232083333333334,13.799166666666666,,197.1391304347826,622.1870833333334,
2014.0,7.730416666666667,20.640833333333333,,138.2275,623.3033333333334,10.421666666666669
2014.0,8.145833333333334,13.31375,,211.64125,624.0500000000001,8.385416666666666
2014.0,6.1745833333333335,11.375416666666666,,255.35458333333327,622.68875,6.435
2014.0,7.204999999999999,10.46875,,241.34291666666664,619.7425,6.322083333333333
2014.0,7.779583333333334,17.132083333333334,,217.52375,620.0029166666667,8.76
2014.0,9.59625,12.9475,,196.27875,621.0479166666667,11.908333333333331
